,Borough,Neighborhood,Latitude,Longitude
0,Lisboa,Avenidas Novas,38.730269039490224,-9.148397530772183
1,Lisboa,Beato,38.736437755237276,-9.124203472024623
2,Lisboa,Estrela,38.71197461348661,-9.168894330422791
3,Lisboa,Benfica,38.73416978853578,-9.204371706144318
4,Lisboa,Arroios,38.73107877496269,-9.144370229741565
5,Lisboa,Olivais,38.77273192604849,-9.112898041223307
6,Lisboa,Santa Maria Maior,38.71135603260006,-9.132326387369964
7,Lisboa,São Domingos de Benfica,38.745834721766414,-9.187019143837095
8,Lisboa,Santa Maria Maior,38.71653079529436,-9.134973854564599
9,Lisboa,Misericórdia,38.70934615574438,-9.147957967137355
10,Lisboa,Santa Maria Maior,38.71129190723633,-9.129600363402023
11,Lisboa,Belém,38.7055892892189,-9.20677723367675
12,Lisboa,Lumiar,38.774219531212395,-9.161098585097196
13,Lisboa,Avenidas Novas,38.740137537400656,-9.150121849655001
14,Lisboa,Santa Maria Maior,38.71215222058391,-9.127019241282689
15,Lisboa,Parque das Nações,38.77239650862034,-9.10221992195122
16,Lisboa,Parque das Nações,38.786665459004716,-9.097969967189218
17,Lisboa,Santa Clara,38.78038771803973,-9.148481377724165
18,Lisboa,Alvalade,38.75631859405473,-9.136236426814968
19,Lisboa,Belém,38.698122058365215,-9.204579322077823
20,Lisboa,Avenidas Novas,38.741082237630636,-9.147144868736026
21,Lisboa,Penha de França,38.731346420808556,-9.12670392632977
22,Lisboa,Arroios,38.72752575042881,-9.136695435382432
23,Lisboa,Estrela,38.708431274438006,-9.154109312199408
24,Lisboa,Santa Clara,38.78640059526866,-9.142413329845171
25,Lisboa,Santo António,38.720356432648906,-9.141490942406364
26,Lisboa,Santo António,38.720356432648906,-9.141490942406364
27,Lisboa,Santo António,38.72407477398023,-9.143074923780562
28,Lisboa,Areeiro,38.73964337767384,-9.131195146119186
29,Lisboa,Olivais,38.76164825138296,-9.109394517292147
30,Lisboa,Olivais,38.768705617235916,-9.105217381763724
31,Lisboa,Olivais,38.768705617235916,-9.105217381763724
32,Lisboa,Ajuda,38.705759122488935,-9.199100553753842
33,Lisboa,Alcântara,38.70546771510904,-9.17918910981709
34,Lisboa,Lumiar,38.76770156364243,-9.158002220771928
35,Lisboa,Santa Maria Maior,38.71136381186736,-9.135988755002918
36,Lisboa,Parque das Nações,38.77761339300336,-9.0953193693658
37,Lisboa,Penha de França,38.73007980876633,-9.130572662136327
38,Lisboa,Arroios,38.7206394670203,-9.138243202074241
39,Lisboa,Santa Maria Maior,38.712658171878886,-9.133161270815238
40,Lisboa,Beato,38.72594908685322,-9.112341154019134
41,Lisboa,Areeiro,38.74510894408688,-9.140488371345338
42,Lisboa,São Domingos de Benfica,38.75442133333446,-9.17289508623678
43,Lisboa,Santa Maria Maior,38.710107339177945,-9.133223563590299
44,Lisboa,Misericórdia,38.71115159976968,-9.14895153977419
45,Lisboa,Benfica,38.74860783543611,-9.197453751395226
46,Lisboa,Santa Clara,38.782433642159354,-9.159714838199855
47,Lisboa,Santa Maria Maior,38.709699601374446,-9.136551441730587
48,Lisboa,Santa Maria Maior,38.70814649672213,-9.141190066973323
49,Lisboa,Campo de Ourique,38.71520985560089,-9.167909623259513
50,Lisboa,São Vicente,38.71959976058129,-9.120751468271628
51,Lisboa,Carnide,38.75965086814479,-9.185687971740045
52,Lisboa,Campolide,38.725943159333326,-9.16223580733115
53,Lisboa,Santa Maria Maior,38.71352629968544,-9.135797989667502
54,Lisboa,Misericórdia,38.71370639265998,-9.15141276465089
55,Lisboa,Santo António,38.71842599076277,-9.152262591570915
56,Lisboa,Santa Maria Maior,38.7117295878813,-9.140440937603369
57,Lisboa,São Vicente,38.71428024423937,-9.125575972912934
58,Lisboa,Santa Maria Maior,38.71398129728203,-9.136310235093651
59,Lisboa,Campo de Ourique,38.718092077372425,-9.158742645466775
60,Lisboa,São Vicente,38.71972582291924,-9.129358969915524
61,Lisboa,Estrela,38.710774383822866,-9.157274980650515
62,Lisboa,Arroios,38.72125152242222,-9.135195894746664
63,Lisboa,Misericórdia,38.7133974114328,-9.145177249243336
64,Lisboa,Alvalade,38.74639025481206,-9.136442317983146
65,Lisboa,Marvila,38.747121681099976,-9.10887375493878
66,Lisboa,Alvalade,38.75483808472766,-9.167560173224087
67,Lisboa,Alvalade,38.75009141852854,-9.144747179004435
0,SINTRA,Agualva e Mira-Sintra,38.7738757,-9.2952352230289
1,AMADORA,Águas Livres,38.7455524,-9.2204373553897
2,CASCAIS,Alcabideche,38.7338374,-9.4090463
3,ALCOCHETE,Alcochete,38.7560499,-8.9608437
4,AMADORA,Alfragide,38.73366745,-9.21600447441957
5,OEIRAS,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",38.7027915,-9.2287735
6,SINTRA,Algueirão-Mem Martins,38.7999099,-9.3397834
7,VILA FRANCA DE XIRA,"Alhandra, São João dos Montes e Calhandriz",38.9257022,-9.00956588636966
8,MOITA,Alhos Vedros,38.6561131,-9.0246288
9,ALMADA,"Almada, Cova da Piedade, Pragal e Cacilhas",38.6764302,-9.1649974
10,SINTRA,"Almargem do Bispo, Pêro Pinheiro e Montelavar",38.8491202,-9.26433477864961
11,BARREIRO,"Alto do Seixalinho, Santo André e Verderena",38.6536339,-9.06025593243429
12,VILA FRANCA DE XIRA,Alverca do Ribatejo e Sobralinho,38.9048341,-9.04172692658602
13,SEIXAL,Amora,38.6296699,-9.1160023
14,MONTIJO,Atalaia e Alto-Estanqueiro-Jardia,38.68669,-8.93183102244897
15,MOITA,Baixa da Banheira e Vale da Amoreira,38.6587745,-9.04309377287641
16,OEIRAS,Barcarena,38.7315692,-9.2780907
17,BARREIRO,Barreiro e Lavradio,38.6687574,-9.0585652519103
18,LOURES,Bucelas,38.9016248,-9.118728
19,SINTRA,Cacém e São Marcos,38.76445685,-9.3077246420235
20,LOURES,"Camarate, Unhos e Apelação",38.815391,-9.13303026371358
21,MONTIJO,Canha,38.7675202,-8.6257283
22,ALMADA,Caparica e Trafaria,38.65367505,-9.21697764739772
23,CASCAIS,Carcavelos e Parede,38.69215555,-9.34788063133149
24,OEIRAS,Carnaxide e Queijas,38.72609605,-9.24417890894112
25,SINTRA,Casal de Cambra,38.8005207,-9.2307698
26,CASCAIS,Cascais e Estoril,38.71503215,-9.45676719216982
27,VILA FRANCA DE XIRA,Castanheira do Ribatejo e Cachoeiras,38.99143565,-8.98665021369602
28,ALMADA,Charneca de Caparica e Sobreda,38.60700305,-9.1853678769872
29,SINTRA,Colares,38.7991807,-9.446217
30,SEIXAL,Corroios,38.6415327,-9.1522335
31,ALMADA,Costa da Caparica,38.6445165,-9.2336068
32,AMADORA,Encosta do Sol,38.7701315,-9.21563632294597
33,AMADORA,Falagueira-Venda Nova,38.7587294,-9.21767478620114
34,LOURES,Fanhões,38.8820838,-9.1527939
35,SEIXAL,Fernão Ferro,38.5654433,-9.0907969
36,MOITA,Gaio-Rosário e Sarilhos Pequenos,38.6751658,-8.99970555388565
37,ALMADA,Laranjeiro e Feijó,38.65699215,-9.15553445005719
38,LOURES,Loures,38.8308741,-9.1684512
39,LOURES,Lousa,41.1699159,-7.1764109
40,SINTRA,Massamá e Monte Abraão,38.75766135,-9.27281886064901
41,AMADORA,Mina de Água,38.7771694,-9.23737804709219
42,MOITA,Moita,38.6523995,-8.9935314
43,MONTIJO,Montijo e Afonsoeiro,38.70566125,-8.99138891172647
44,LOURES,Moscavide e Portela,38.78273005,-9.11095633567069
45,ODIVELAS,Odivelas,38.7926342,-9.1826701
46,OEIRAS,"Oeiras e S.Julião da Barra, Paço de Arcos e Caxias",38.7124971,-9.27130038240727
47,BARREIRO,Palhais e Coina,38.60571425,-9.03644098478004
48,MONTIJO,Pegões,38.6837874,-8.6115414
49,ODIVELAS,Pontinha e Famões,38.7839802,-9.20791212666987
50,OEIRAS,Porto Salvo,38.717239,-9.3020403
51,VILA FRANCA DE XIRA,Póvoa de Santa Iria e Forte da Casa,38.8640307,-9.06336052636882
52,ODIVELAS,Póvoa de Santo Adrião e Olival Basto,38.79654955,-9.15964175522386
53,SINTRA,Queluz e Belas,38.7787478,-9.26454875118903
54,ODIVELAS,Ramada e Caneças,38.8146044,-9.21969700570881
55,SINTRA,Rio de Mouro,38.7723602,-9.3256835
56,SINTRA,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",6.148061,-73.3849156
57,LOURES,Sacavém e Prior Velho,38.7944189,-9.11152168866681
58,ALCOCHETE,Samouco,38.720408,-9.0031772
59,LOURES,"Santa Iria de Azoia, São João da Talha e Bobadela",38.8443575,-9.08873906657953
60,LOURES,Santo Antão e São Julião do Tojal,38.86195075,-9.14676063374647
61,BARREIRO,Santo António da Charneca,38.6246943,-9.031607
62,LOURES,Santo António dos Cavaleiros e Frielas,38.81835415,-9.15518875956134
63,CASCAIS,São Domingos de Rana,38.7015666,-9.3417434
64,ALCOCHETE,São Francisco,38.7309779,-8.9729011
65,SINTRA,São João das Lampas e Terrugem,38.87873825,-9.38688460269791
66,MONTIJO,Sarilhos Grandes,38.6791855,-8.9684863
67,SEIXAL,"Seixal, Arrentela e Aldeia de Paio Pires",38.61851395,-9.08299168677431
68,AMADORA,Venteira,38.74675855,-9.24049750743271
69,VILA FRANCA DE XIRA,Vialonga,38.8735511,-9.0785504
70,VILA FRANCA DE XIRA,Vila Franca de Xira,38.954278,-8.9897039
