,City,Neighborhood,Latitude,Longitude
0,BRAGA,Adaúfe,41.58655800000005,-8.40101299999995
1,LISBOA,Ajuda,38.69974000000008,-9.181179999999927
2,LISBOA,Alcântara,38.70505500000006,-9.180970999999971
3,PORTO,"Aldoar, Foz do Douro e Nevogilde",41.16617327016135,-8.678074468350301
4,COIMBRA,Almalaguês,40.134541179569545,-8.394119366635891
5,LISBOA,Alvalade,38.75558100000005,-9.137068999999968
6,COIMBRA,Antuzede e Vil de Matos,40.28098607100003,-8.40152999999998
7,AVEIRO,Aradas,40.62432421672654,-8.643783571576646
8,LISBOA,Areeiro,38.74400000000003,-9.132159999999942
9,BRAGA,Arentim e Cunha,41.4850436413018,-8.513036315376185
10,LISBOA,Arroios,38.72238900000005,-9.132703999999961
11,COIMBRA,Assafarge e Antanhol,40.16555847596489,-8.458634755032696
12,LISBOA,Avenidas Novas,38.73024600000005,-9.149493499999949
13,LISBOA,Beato,38.72629500000005,-9.111918499999973
14,LISBOA,Belém,38.69768400000005,-9.204393499999952
15,LISBOA,Benfica,38.750410251295335,-9.210688043341369
16,PORTO,Bonfim,41.1483662979302,-8.598389364247119
17,BRAGA,Braga,41.54550900000005,-8.42137999999997
18,BRAGA,Braga,41.549397000000056,-8.421888499999966
19,BRAGA,Braga,41.55493200000005,-8.420736499999947
20,BRAGA,Braga,41.55247500000006,-8.414283499999954
21,COIMBRA,Brasfemes,40.268907943746974,-8.401993372352116
22,BRAGA,Cabreiros e Passos,41.52551685389248,-8.500606624329322
23,AVEIRO,Cacia,40.683583965024745,-8.60312131540613
24,PORTO,Campanhã,41.148645146700744,-8.580614818956356
25,LISBOA,Campo de Ourique,38.71581000000003,-9.166919999999948
26,LISBOA,Campolide,38.73567079119091,-9.171077982733186
27,LISBOA,Carnide,38.75993700000005,-9.18558349999995
28,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146389301815525,-8.614368600994384
29,COIMBRA,Ceira,40.1734342010472,-8.389654745979376
30,BRAGA,"Celeirós, Aveleda e Vimieiro",41.51482800000005,-8.455615999999964
31,COIMBRA,Cernache,40.13931756449181,-8.469048512910973
32,BRAGA,Crespos e Pousada,41.60757787167041,-8.354097954995986
33,COIMBRA,Eiras e São Paulo de Frades,40.24444959175106,-8.396209561985994
34,AVEIRO,Eixo e Eirol,40.60441459162352,-8.534867867765906
35,BRAGA,Escudeiros e Penso,41.480646851389565,-8.424466167109411
36,AVEIRO,Esgueira,40.6483954884725,-8.630233875030868
37,BRAGA,Espinho,41.54608500000006,-8.362308499999955
38,BRAGA,Esporões,41.51134412716834,-8.41565628360686
39,BRAGA,Este,41.564724000000055,-8.373378499999973
