,City,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,VenueID,Venue,Venue Latitude,Venue Longitude,Venue Category,ParentCategory
0,BRAGA,Adaúfe,41.58655800000005,-8.40101299999995,549593b9498e6e8081d09f86,Pavilhão Adaufe,41.585673,-8.401757,Roller Rink,Arts & Entertainment
1,LISBOA,Ajuda,38.69974000000008,-9.181179999999927,4bf586dc94b2a59360bfabee,5 Oceanos,38.69965429322007,-9.178412327442622,Seafood Restaurant,Food
2,LISBOA,Alvalade,38.75558100000005,-9.137068999999968,4d3054a5f986a0939d75fb66,Novo Dia,38.75384603549956,-9.14186872036378,Seafood Restaurant,Food
3,LISBOA,Arroios,38.72238900000005,-9.132703999999961,4c9e5f792fb1a1433ff2e940,Cervejaria Ramiro,38.720347,-9.135703,Seafood Restaurant,Food
4,LISBOA,Arroios,38.72238900000005,-9.132703999999961,4f89e174e4b00a6262549ad1,Penalva da Graça,38.72072213268061,-9.130069805080755,Seafood Restaurant,Food
5,LISBOA,Arroios,38.72238900000005,-9.132703999999961,4c713a05d7fab1f7f99860c9,Marisqueira do Lis,38.722405147790155,-9.135341373159541,Seafood Restaurant,Food
6,LISBOA,Belém,38.69768400000005,-9.204393499999952,4beea9dcd355a593d31e0b60,Carvoeiro,38.69684076504668,-9.202882423685258,Seafood Restaurant,Food
7,LISBOA,Campo de Ourique,38.71581000000003,-9.166919999999948,4da745ff6a230db30ed5126a,Cervejaria da Esquina,38.71924040897726,-9.16730157198789,Seafood Restaurant,Food
8,LISBOA,Campo de Ourique,38.71581000000003,-9.166919999999948,565a0da4498ea43abd9ca6ba,Peixaria da Esquina,38.71924554016488,-9.167354613592009,Seafood Restaurant,Food
9,PORTO,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",41.146389301815525,-8.614368600994384,5514822b498ef09f7899e627,Ostras & Coisas,41.147582742946796,-8.613389181853675,Seafood Restaurant,Food
10,LISBOA,Misericórdia,38.71188042729671,-9.142968071216105,4ce9329af3bda1438279bee4,Sea Me - Peixaria Moderna,38.71070598918867,-9.144251166199416,Seafood Restaurant,Food
11,LISBOA,Santa Maria Maior,38.70989000000003,-9.133339999999976,4d8faf56d085594168e71387,Alpendre,38.71021930657648,-9.132120539370863,Seafood Restaurant,Food
